"Product page","Category","Etsy SKU","Inventory SKU","Quantity per Etsy unit","Reason"
"65mm Printed  ilicone Ring","focal-beads","ACC-RNGSNFLWR-1PK","ACC-RNGSNFLWR-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"65mm Printed  ilicone Ring","focal-beads","ACC-RNGUNDRSEA-1PK","ACC-RNGUNDRSEA-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"65mm Printed  ilicone Ring","focal-beads","ACC-RNGUSA-1PK","ACC-RNGUSA-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"65mm Printed  ilicone Ring","focal-beads","ACC-RNGWSTRN-1PK","ACC-RNGWSTRN-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"olid Faux Leather Ta el","charms-dangles","ACC-SOLTSSL-BLK-1PK","ACC-SOLTSSL-BLK-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"olid Faux Leather Ta el","charms-dangles","ACC-SOLTSSL-BRNA-1PK","ACC-SOLTSSL-BRNA-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"olid Faux Leather Ta el","charms-dangles","ACC-SOLTSSL-BRNB-1PK","ACC-SOLTSSL-BRNB-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"olid Faux Leather Ta el","charms-dangles","ACC-SOLTSSL-BRNC-1PK","ACC-SOLTSSL-BRNC-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"olid Faux Leather Ta el","charms-dangles","ACC-SOLTSSL-BRND-1PK","ACC-SOLTSSL-BRND-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"olid Faux Leather Ta el","charms-dangles","ACC-SOLTSSL-BRNE-1PK","ACC-SOLTSSL-BRNE-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"olid Faux Leather Ta el","charms-dangles","ACC-SOLTSSL-DKBLU-1PK","ACC-SOLTSSL-DKBLU-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"olid Faux Leather Ta el","charms-dangles","ACC-SOLTSSL-DKPNK-1PK","ACC-SOLTSSL-DKPNK-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"olid Faux Leather Ta el","charms-dangles","ACC-SOLTSSL-GRN-1PK","ACC-SOLTSSL-GRN-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"olid Faux Leather Ta el","charms-dangles","ACC-SOLTSSL-GRY-1PK","ACC-SOLTSSL-GRY-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"olid Faux Leather Ta el","charms-dangles","ACC-SOLTSSL-LTBLU-1PK","ACC-SOLTSSL-LTBLU-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"olid Faux Leather Ta el","charms-dangles","ACC-SOLTSSL-LTPNK-1PK","ACC-SOLTSSL-LTPNK-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"olid Faux Leather Ta el","charms-dangles","ACC-SOLTSSL-ORG-1PK","ACC-SOLTSSL-ORG-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"olid Faux Leather Ta el","charms-dangles","ACC-SOLTSSL-PNKYPNK-1PK","ACC-SOLTSSL-PNKYPNK-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"olid Faux Leather Ta el","charms-dangles","ACC-SOLTSSL-PUR-1PK","ACC-SOLTSSL-PUR-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"olid Faux Leather Ta el","charms-dangles","ACC-SOLTSSL-RED-1PK","ACC-SOLTSSL-RED-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"olid Faux Leather Ta el","charms-dangles","ACC-SOLTSSL-SLV-1PK","ACC-SOLTSSL-SLV-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"olid Faux Leather Ta el","charms-dangles","ACC-SOLTSSL-TEAL-1PK","ACC-SOLTSSL-TEAL-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"olid Faux Leather Ta el","charms-dangles","ACC-SOLTSSL-WHT-1PK","ACC-SOLTSSL-WHT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"olid Faux Leather Ta el","charms-dangles","ACC-SOLTSSL-YEL-1PK","ACC-SOLTSSL-YEL-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"ilicone Cup  traw Topper","charms-dangles","ACC-STRWTOP-CRDNL-1PK","ACC-STRWTOP-CRDNL-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"ilicone Cup  traw Topper","charms-dangles","ACC-STRWTOP-GNGRBD-1PK","ACC-STRWTOP-GNGRBD-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"ilicone Cup  traw Topper","charms-dangles","ACC-STRWTOP-GRNTREE-1PK","ACC-STRWTOP-GRNTREE-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"ilicone Cup  traw Topper","charms-dangles","ACC-STRWTOP-PNKTREE-1PK","ACC-STRWTOP-PNKTREE-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"ilicone Cup  traw Topper","charms-dangles","ACC-STRWTOP-SNWMN-1PK","ACC-STRWTOP-SNWMN-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"ilicone Cup  traw Topper","charms-dangles","ACC-STRWTOP-WHTTREE-1PK","ACC-STRWTOP-WHTTREE-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"12mm Bead","mixes-bundles-kits","ACR-12BLOCK-MIX-10PK","ACR-12BLOCK-MIX-10PK","10","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
